prefix,path,method,tags,summary,description,operation_id,path_params,required_query_params,optional_query_params,request_body_content_types,request_body_schema,success_codes,success_response_schema,notes
asset,/asset/{id}/postings,GET,asset,Get postings associated with asset,,AssetPostings_getPostings,id (Element ID),,dateFrom (yyyy-MM-dd. Defaults to today.); dateToExclusive (yyyy-MM-dd. Defaults to today.); fields (Fields filter pattern); from (From index); count (Number of elements to return); sorting (Sorting pattern),,,200,200:application/json:ListResponsePosting,
attestation,/attestation/:addApprover,PUT,attestation,,,AttestationAddApprover_addApprover,,,,application/json; charset=utf-8,application/json; charset=utf-8:NewApproverBody,200,200:application/json:ResponseWrapperAttestation,
attestation,/attestation/addApproverPermission,GET,attestation,,,AttestationAddApproverPermission_addApproverPermission,,attestationObjectId (Attestation object ID); attestationType (Attestation type),fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperAddApproverPermission,
attestation,/attestation/companyModules,GET,attestation_company_modules,Get attestation company modules,,AttestationCompanyModules_get,,,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperAttestationCompanyModules,
balance,/balance/reconciliation/annual/context,POST,balance/reconciliation,Create a annualBalance reconciliation context for a customer,,BalanceReconciliationAnnualContext_postAnnualContext,,,,application/json; charset=utf-8,application/json; charset=utf-8:AnnualBalanceContextRequest,201,201:application/json:ResponseWrapperAnnualBalanceContext,
balance,/balance/reconciliation/attachment/{attachmentId}/pdf,GET,balance/reconciliation,,Get an attached voucher as PDF,BalanceReconciliationAttachmentPdf_getAttachment,attachmentId (Id of the attachment),,,,,200,200:application/pdf:string,
balance,/balance/reconciliation/{reconciliationId}/account/{accountId}/vouchers,GET,balance/reconciliation,,Find vouchers for an account in the period of the balance reconciliation,BalanceReconciliationAccountVouchers_getVouchers,reconciliationId (Id of the balance reconciliation); accountId (Id of the account),,fromDate (Format is yyyy-MM-dd); toDateExclusive (Format is yyyy-MM-dd); query (Containing); fields (Fields filter pattern); from (From index); count (Number of elements to return); sorting (Sorting pattern),,,200,200:application/json:ListResponseBalanceReconciliationVoucher,
balanceSheet,/balanceSheet,GET,balanceSheet,Get balance sheet (saldobalanse).,,BalanceSheet_search,,dateFrom (Format is yyyy-MM-dd (from and incl.).); dateTo (Format is yyyy-MM-dd (to and excl.).),accountNumberFrom (From and including); accountNumberTo (To and excluding); customerId (Element ID for filtering); employeeId (Element ID for filtering); departmentId (Element ID for filtering); projectId (Element ID for filtering); includeSubProjects (Should sub projects of the given project be included); includeActiveAccountsWithoutMovements (Should active accounts with no movements be included); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseBalanceSheetAccount,
bank,/bank,GET,bank,Find bank corresponding with sent data.,,Bank_search,,,id (List of IDs); registerNumbers (Bank register number (four digits)); isBankReconciliationSupport (Equals); isAutoPaySupported (Equals); isZtlSupported (Equals); query (Containing); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseBank,
bank,/bank/reconciliation,GET,bank/reconciliation,Find bank reconciliation corresponding with sent data.,,BankReconciliation_search,,,id (List of IDs); accountingPeriodId (List of IDs); accountId (List of IDs); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseBankReconciliation,
bank,/bank/reconciliation,POST,bank/reconciliation,Post a bank reconciliation.,,BankReconciliation_post,,,,application/json; charset=utf-8,application/json; charset=utf-8:BankReconciliation,201,201:application/json:ResponseWrapperBankReconciliation,
bank,/bank/reconciliation/>last,GET,bank/reconciliation,Get the last created reconciliation by account ID.,,BankReconciliationLast_last,,accountId (Account ID),fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperBankReconciliation,
bank,/bank/reconciliation/>lastClosed,GET,bank/reconciliation,Get last closed reconciliation by account ID.,,BankReconciliationLastClosed_lastClosed,,accountId (Account ID),after (Format is yyyy-MM-dd); fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperBankReconciliation,
bank,/bank/reconciliation/closedWithUnmatchedTransactions,GET,bank/reconciliation,Get the last closed reconciliation with unmached transactions by account ID.,,BankReconciliationClosedWithUnmatchedTransactions_closedWithUnmatchedTransactions,,accountId (Account ID),start (Format is yyyy-MM-dd); fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperBankReconciliation,
bank,/bank/reconciliation/match,GET,bank/reconciliation/match,Find bank reconciliation match corresponding with sent data.,,BankReconciliationMatch_search,,,id (List of IDs); bankReconciliationId (List of bank reconciliation IDs); count (Number of elements to return); approved (Approved or unapproved matches); from (From index); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseBankReconciliationMatch,
bank,/bank/reconciliation/match,POST,bank/reconciliation/match,Create a bank reconciliation match.,,BankReconciliationMatch_post,,,,application/json; charset=utf-8,application/json; charset=utf-8:BankReconciliationMatch,201,201:application/json:ResponseWrapperBankReconciliationMatch,
bank,/bank/reconciliation/match/:suggest,PUT,bank/reconciliation/match,Suggest matches for a bank reconciliation by ID.,,BankReconciliationMatchSuggest_suggest,,bankReconciliationId (Element ID),,,,200,200:application/json:ListResponseBankReconciliationMatch,
bank,/bank/reconciliation/match/count,GET,bank/reconciliation/match,Get the total number of matches,,BankReconciliationMatchCount_count,,bankReconciliationId (Element ID),fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperInteger,
bank,/bank/reconciliation/match/query,GET,bank/reconciliation/match,[INTERNAL] Wildcard search.,,BankReconciliationMatchQuery_query,,,bankReconciliationId (The bank reconciliation id); approved (Approved or unapproved matches); count (Number of elements to return); from (From index); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseBankReconciliationMatch,
bank,/bank/reconciliation/match/{id},DELETE,bank/reconciliation/match,Delete a bank reconciliation match by ID.,,BankReconciliationMatch_delete,id (Element ID),,,,,204,204:application/json,
bank,/bank/reconciliation/match/{id},GET,bank/reconciliation/match,Get bank reconciliation match by ID.,,BankReconciliationMatch_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperBankReconciliationMatch,
bank,/bank/reconciliation/match/{id},PUT,bank/reconciliation/match,Update a bank reconciliation match by ID.,,BankReconciliationMatch_put,id (Element ID),,,application/json; charset=utf-8,application/json; charset=utf-8:BankReconciliationMatch,200,200:application/json:ResponseWrapperBankReconciliationMatch,
bank,/bank/reconciliation/matches/counter,GET,"bank/reconciliation/match, bank/reconciliation/matches/counter",[BETA] Get number of matches since last page access.,,BankReconciliationMatchesCounter_get,,bankReconciliationId (Element ID),fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperBankReconciliationMatchesCounter,BETA
bank,/bank/reconciliation/matches/counter,POST,"bank/reconciliation/match, bank/reconciliation/matches/counter",[BETA] Reset the number of matches after the page has been accessed.,,BankReconciliationMatchesCounter_post,,bankReconciliationId (Element ID),,,,201,201:application/json,BETA
bank,/bank/reconciliation/paymentType,GET,bank/reconciliation/paymentType,Find payment type corresponding with sent data.,,BankReconciliationPaymentType_search,,,id (List of IDs); description (Containing); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseBankReconciliationPaymentType,
bank,/bank/reconciliation/paymentType/{id},GET,bank/reconciliation/paymentType,Get payment type by ID.,,BankReconciliationPaymentType_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperBankReconciliationPaymentType,
bank,/bank/reconciliation/settings,GET,bank/reconciliation/settings,Get bank reconciliation settings.,,BankReconciliationSettings_get,,,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperBankReconciliationSettings,
bank,/bank/reconciliation/settings,POST,bank/reconciliation/settings,Post bank reconciliation settings.,,BankReconciliationSettings_post,,,,application/json; charset=utf-8,application/json; charset=utf-8:BankReconciliationSettings,201,201:application/json:ResponseWrapperBankReconciliationSettings,
bank,/bank/reconciliation/settings/{id},PUT,bank/reconciliation/settings,Update bank reconciliation settings.,,BankReconciliationSettings_put,id (Element ID),,,application/json; charset=utf-8,application/json; charset=utf-8:BankReconciliationSettings,200,200:application/json:ResponseWrapperBankReconciliationSettings,
bank,/bank/reconciliation/transactions/unmatched:csv,PUT,bank/reconciliation,Get all unmatched transactions in csv format,,BankReconciliationTransactionsUnmatchedcsv_csvTransactions,,,reconciliationId (ID for reconciliation),,,200,200:text/csv; charset=utf-8:string; 200:text/csv; charset=iso-8859-1:string,
bank,/bank/reconciliation/{id},DELETE,bank/reconciliation,Delete bank reconciliation by ID.,,BankReconciliation_delete,id (Element ID),,,,,204,204:application/json,
bank,/bank/reconciliation/{id},GET,bank/reconciliation,Get bank reconciliation.,,BankReconciliation_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperBankReconciliation,
bank,/bank/reconciliation/{id},PUT,bank/reconciliation,Update a bank reconciliation.,,BankReconciliation_put,id (Element ID),,,application/json; charset=utf-8,application/json; charset=utf-8:BankReconciliation,200,200:application/json:ResponseWrapperBankReconciliation,
bank,/bank/reconciliation/{id}/:adjustment,PUT,bank/reconciliation,Add an adjustment to reconciliation by ID.,,BankReconciliationAdjustment_adjustment,id (Element ID),,,application/json; charset=utf-8,application/json; charset=utf-8:array[BankReconciliationAdjustment],200,200:application/json:ListResponseBankReconciliationAdjustment,
bank,/bank/statement,GET,bank/statement,Find bank statement corresponding with sent data.,,BankStatement_search,,,id (List of IDs); accountId (List of IDs); fileFormats (List of IDs); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseBankStatement,
bank,/bank/statement/import,POST,bank/statement,Upload bank statement file.,,BankStatementImport_importBankStatement,,bankId (Bank ID); accountId (Account ID); fromDate (Format is yyyy-MM-dd (from and incl.).); toDate (Format is yyyy-MM-dd (to and excl.).); fileFormat (File format),externalId (External ID),multipart/form-data,multipart/form-data:object,201,201:application/json:ResponseWrapperBankStatement,
bank,/bank/statement/transaction,GET,bank/statement/transaction,Find bank transaction corresponding with sent data.,,BankStatementTransaction_search,,bankStatementId (Bank statement ID),from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseBankTransaction,
bank,/bank/statement/transaction/{id},GET,bank/statement/transaction,Get bank transaction by ID.,,BankStatementTransaction_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperBankTransaction,
bank,/bank/statement/transaction/{id}/details,GET,bank/statement/transaction,Get additional details about transaction by ID.,,BankStatementTransactionDetails_getDetails,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperObject,
bank,/bank/statement/{id},DELETE,bank/statement,Delete bank statement by ID.,,BankStatement_delete,id (Element ID),,,,,204,204:application/json,
bank,/bank/statement/{id},GET,bank/statement,Get bank statement.,,BankStatement_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperBankStatement,
bank,/bank/{id},GET,bank,Get bank.,,Bank_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperBank,
company,/company,PUT,company,Update company information.,,Company_put,,,,application/json; charset=utf-8,application/json; charset=utf-8:Company,200,200:application/json:ResponseWrapperCompany,
company,/company/>withLoginAccess,GET,company,Returns client customers (with accountant/auditor relation) where the current user has login access (proxy login).,,CompanyWithLoginAccess_getWithLoginAccess,,,from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseClient,
company,/company/divisions,GET,company,[DEPRECATED] Find divisions.,,CompanyDivisions_getDivisions,,,from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseCompany,DEPRECATED
company,/company/salesmodules,GET,company/salesmodules,[BETA] Get active sales modules.,,CompanySalesmodules_get,,,from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseSalesModule,BETA
company,/company/salesmodules,POST,company/salesmodules,[BETA] Add (activate) a new sales module.,,CompanySalesmodules_post,,,,application/json; charset=utf-8,application/json; charset=utf-8:SalesModule,201,201:application/json:ResponseWrapperSalesModule,BETA
company,/company/settings/altinn,GET,"company/altinn, company/settings/altinn",Find Altinn id for login in company.,,CompanySettingsAltinn_search,,,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperAltinnCompanyModule,
company,/company/settings/altinn,PUT,"company/altinn, company/settings/altinn",Update AltInn id and password.,,CompanySettingsAltinn_put,,,,application/json; charset=utf-8,application/json; charset=utf-8:AltinnCompanyModule,200,200:application/json:ResponseWrapperAltinnCompanyModule,
company,/company/{id},GET,company,Find company by ID.,,Company_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperCompany,
contact,/contact,GET,contact,Find contacts corresponding with sent data.,,Contact_search,,,id (List of IDs); firstName (Containing); lastName (Containing); email (Containing); customerId (List of IDs); departmentId (List of IDs); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseContact,
contact,/contact,POST,contact,Create contact.,,Contact_post,,,,application/json; charset=utf-8,application/json; charset=utf-8:Contact,201,201:application/json:ResponseWrapperContact,
contact,/contact/list,DELETE,contact,[BETA] Delete multiple contacts.,,ContactList_deleteByIds,,ids (ID of the elements),,,,204,204:application/json,BETA
contact,/contact/list,POST,contact,Create multiple contacts.,,ContactList_postList,,,,application/json; charset=utf-8,application/json; charset=utf-8:array[Contact],201,201:application/json:ListResponseContact,
contact,/contact/{id},GET,contact,Get contact by ID.,,Contact_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperContact,
contact,/contact/{id},PUT,contact,Update contact.,,Contact_put,id (Element ID),,,application/json; charset=utf-8,application/json; charset=utf-8:Contact,200,200:application/json:ResponseWrapperContact,
country,/country,GET,country,Find countries corresponding with sent data.,,Country_search,,,id (List of IDs); code (List of IDs); isDisabled (Equals); supportedInZtl (Equals); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseCountry,
country,/country/{id},GET,country,Get country by ID.,,Country_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperCountry,
crm,/crm/prospect,GET,crm/prospect,Find prospects corresponding with sent data.,,CrmProspect_search,,,name (Containing); description (Containing); createdDateFrom (From and including); createdDateTo (To and excluding); customerId (Equals); salesEmployeeId (Equals); isClosed (Equals); closedReason (Equals); closedDateFrom (From and including); closedDateTo (To and excluding); competitor (Containing); prospectType (Equals); projectId (Equals); projectOfferId (Equals); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseObject,
crm,/crm/prospect/{id},GET,crm/prospect,Get prospect by ID.,,CrmProspect_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperObject,
currency,/currency,GET,currency,Find currencies corresponding with sent data.,,Currency_search,,,id (List of IDs); code (Currency codes); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseCurrency,
currency,/currency/{fromCurrencyID}/exchangeRate,GET,currency,"Returns the amount in the company currency, where the input amount is in fromCurrency, using the newest exchange rate available for the given date",,CurrencyExchangeRate_getAmountCurrency,fromCurrencyID (From Currency ID),amount (Amount to be exchanged); date (Voucher date),fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperNumber,
currency,/currency/{fromCurrencyID}/{toCurrencyID}/exchangeRate,GET,currency,"Returns the amount in the specified currency, where the input amount is in fromCurrency, using the newest exchange rate available for the given date",,CurrencyExchangeRate_convertCurrencyAmount,fromCurrencyID (From Currency ID); toCurrencyID (To Currency ID),amount (Amount to be exchanged); date (Voucher date),fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperNumber,
currency,/currency/{id},GET,currency,Get currency by ID.,,Currency_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperCurrency,
currency,/currency/{id}/rate,GET,currency,Find currency exchange rate corresponding with sent data.,,CurrencyRate_getRate,id (Currency id),date (Format is yyyy-MM-dd),fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperCurrencyExchangeRate,
customer,/customer,GET,customer,Find customers corresponding with sent data.,,Customer_search,,,id (List of IDs); customerAccountNumber (List of customer numbers); organizationNumber (Equals); email (Equals); invoiceEmail (Equals); customerName (Name); phoneNumberMobile (Phone number mobile); isInactive (Equals); accountManagerId (List of IDs); changedSince (Only return elements that have changed since this date and time); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseCustomer,
customer,/customer,POST,customer,Create customer. Related customer addresses may also be created.,,Customer_post,,,,application/json; charset=utf-8,application/json; charset=utf-8:Customer,201,201:application/json:ResponseWrapperCustomer,
customer,/customer/category,GET,customer/category,Find customer/supplier categories corresponding with sent data.,,CustomerCategory_search,,,id (List of IDs); name (Containing); number (Equals); description (Containing); type (List of IDs); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseCustomerCategory,
customer,/customer/category,POST,customer/category,Add new customer/supplier category.,,CustomerCategory_post,,,,application/json; charset=utf-8,application/json; charset=utf-8:CustomerCategory,201,201:application/json:ResponseWrapperCustomerCategory,
customer,/customer/category/{id},GET,customer/category,Find customer/supplier category by ID.,,CustomerCategory_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperCustomerCategory,
customer,/customer/category/{id},PUT,customer/category,Update customer/supplier category.,,CustomerCategory_put,id (Element ID),,,application/json; charset=utf-8,application/json; charset=utf-8:CustomerCategory,200,200:application/json:ResponseWrapperCustomerCategory,
customer,/customer/list,POST,customer,[BETA] Create multiple customers. Related supplier addresses may also be created.,,CustomerList_postList,,,,application/json; charset=utf-8,application/json; charset=utf-8:array[Customer],201,201:application/json:ListResponseCustomer,BETA
customer,/customer/list,PUT,customer,[BETA] Update multiple customers. Addresses can also be updated.,,CustomerList_putList,,,,application/json; charset=utf-8,application/json; charset=utf-8:array[Customer],200,200:application/json:ListResponseCustomer,BETA
customer,/customer/{id},DELETE,customer,[BETA] Delete customer by ID,,Customer_delete,id (Element ID),,,,,204,204:application/json,BETA
customer,/customer/{id},GET,customer,Get customer by ID.,,Customer_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperCustomer,
customer,/customer/{id},PUT,customer,Update customer.,,Customer_put,id (Element ID),,,application/json; charset=utf-8,application/json; charset=utf-8:Customer,200,200:application/json:ResponseWrapperCustomer,
deliveryAddress,/deliveryAddress,GET,deliveryAddress,Find addresses corresponding with sent data.,,DeliveryAddress_search,,,id (List of IDs); addressLine1 (List of IDs); addressLine2 (List of IDs); postalCode (List of IDs); city (List of IDs); name (List of IDs); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseDeliveryAddress,
deliveryAddress,/deliveryAddress/{id},GET,deliveryAddress,Get address by ID.,,DeliveryAddress_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperDeliveryAddress,
deliveryAddress,/deliveryAddress/{id},PUT,deliveryAddress,Update address.,,DeliveryAddress_put,id (Element ID),,,application/json; charset=utf-8,application/json; charset=utf-8:DeliveryAddress,200,200:application/json:ResponseWrapperDeliveryAddress,
department,/department,GET,department,Find department corresponding with sent data.,,Department_search,,,id (List of IDs); name (Containing); departmentNumber (Containing); departmentManagerId (List of IDs); isInactive (true - return only inactive departments; false - return only active departments; unspecified - return both types); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseDepartment,
department,/department,POST,department,Add new department.,,Department_post,,,,application/json; charset=utf-8,application/json; charset=utf-8:Department,201,201:application/json:ResponseWrapperDepartment,
department,/department/list,POST,department,Register new departments.,,DepartmentList_postList,,,,application/json; charset=utf-8,application/json; charset=utf-8:array[Department],201,201:application/json:ListResponseDepartment,
department,/department/list,PUT,department,Update multiple departments.,,DepartmentList_putList,,,,application/json; charset=utf-8,application/json; charset=utf-8:array[Department],200,200:application/json:ListResponseDepartment,
department,/department/query,GET,department,Wildcard search.,,DepartmentQuery_query,,,id (List of IDs); query (Containing); count (Number of elements to return); fields (Fields filter pattern); isInactive (true - return only inactive departments; false - return only active departments; unspecified - return both types); from (From index); sorting (Sorting pattern),,,200,200:application/json:ListResponseDepartment,
department,/department/{id},DELETE,department,Delete department by ID,,Department_delete,id (Element ID),,,,,204,204:application/json,
department,/department/{id},GET,department,Get department by ID.,,Department_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperDepartment,
department,/department/{id},PUT,department,Update department.,,Department_put,id (Element ID),,,application/json; charset=utf-8,application/json; charset=utf-8:Department,200,200:application/json:ResponseWrapperDepartment,
discountPolicy,/discountPolicy,GET,discountPolicy,[BETA] Find discounts corresponding with sent data. Available for Logistics Basis and Wholesaler integration.,,DiscountPolicy_search,,,customerId (Equals); productId (Equals); productGroupId (Equals); query (Containing); activeProducts (Equals); fields (Fields filter pattern); from (From index); count (Number of elements to return); sorting (Sorting pattern),,,200,200:application/json:ListResponseDiscountPolicy,BETA; Available for Logistics Basis and Wholesaler integration
discountPolicy,/discountPolicy/{id},GET,discountPolicy,[BETA] Get discount by ID. Available for Logistics Basis and Wholesaler integration.,,DiscountPolicy_get,id (Element ID),,fields (Fields filter pattern),,,200,200:application/json:ResponseWrapperDiscountPolicy,BETA; Available for Logistics Basis and Wholesaler integration
division,/division,GET,division,Get divisions.,,Division_search,,,query (Containing); from (From index); count (Number of elements to return); sorting (Sorting pattern); fields (Fields filter pattern),,,200,200:application/json:ListResponseDivision,
division,/division,POST,division,Create division.,,Division_post,,,,application/json; charset=utf-8,application/json; charset=utf-8:Division,201,201:application/json:ResponseWrapperDivision,
division,/division/list,POST,division,Create divisions.,,DivisionList_postList,,,,application/json; charset=utf-8,application/json; charset=utf-8:array[Division],201,201:application/json:ListResponseDivision,
division,/division/list,PUT,division,Update multiple divisions.,,DivisionList_putList,,,,application/json; charset=utf-8,application/json; charset=utf-8:array[Division],200,200:application/json:ListResponseDivision,
